# psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,z
2.037822000000000244e+01,2.018107999999999791e+01,2.010617000000000232e+01,1.999042000000000030e+01,2.016367999999999938e+01,2.041367999999999938e+01,2.018994999999999962e+01,2.010913000000000039e+01,1.999191000000000074e+01,2.014296000000000220e+01,2.053642999999999930e+01,2.019023999999999930e+01,2.016357999999999961e+01,2.014320000000000022e+01,2.103827000000000069e+01,1.500474000000000085e+00
1.980936000000000163e+01,1.836772999999999811e+01,1.781381000000000014e+01,1.761873999999999896e+01,1.752421000000000006e+01,1.979767000000000010e+01,1.832812999999999803e+01,1.778969000000000023e+01,1.760225000000000151e+01,1.750977999999999923e+01,1.985535000000000139e+01,1.835445999999999955e+01,1.784452000000000282e+01,1.764943999999999846e+01,1.756570999999999927e+01,-3.928108000000000034e-04
1.902517000000000280e+01,1.801313000000000031e+01,1.759662000000000148e+01,1.740422999999999831e+01,1.732864000000000004e+01,1.902602000000000260e+01,1.798818999999999946e+01,1.759042999999999779e+01,1.740709999999999980e+01,1.733063999999999893e+01,1.908347999999999800e+01,1.804964000000000013e+01,1.764252000000000109e+01,1.746969999999999956e+01,1.737897999999999854e+01,8.201071000000000749e-04
2.357679999999999865e+01,2.279609999999999914e+01,2.096302999999999983e+01,2.007314999999999827e+01,1.973720000000000141e+01,2.417194999999999894e+01,2.237053999999999832e+01,2.062525000000000119e+01,1.974035999999999902e+01,1.931420999999999921e+01,2.266356000000000037e+01,2.194095000000000084e+01,2.074927000000000277e+01,1.975802999999999798e+01,1.926044999999999874e+01,4.552279000000000186e-01
2.208328999999999809e+01,2.017643999999999949e+01,1.888244999999999862e+01,1.834300999999999959e+01,1.792214999999999847e+01,1.915827000000000169e+01,1.740154000000000067e+01,1.625482000000000227e+01,1.571947000000000116e+01,1.533758999999999872e+01,1.955297000000000196e+01,1.753587999999999880e+01,1.657584999999999908e+01,1.606811000000000078e+01,1.584708999999999968e+01,2.010457999999999967e-01
2.600271000000000043e+01,2.258139999999999858e+01,2.096497000000000099e+01,2.021350999999999942e+01,1.967308999999999841e+01,2.628830999999999918e+01,2.191728999999999772e+01,2.023711000000000126e+01,1.944501999999999953e+01,1.899576000000000064e+01,2.192562000000000211e+01,2.198428999999999789e+01,2.036402999999999963e+01,1.953632999999999953e+01,1.910569999999999879e+01,4.781010999999999456e-01
2.347227999999999781e+01,2.093788999999999945e+01,1.943731999999999971e+01,1.861364000000000019e+01,1.819829999999999970e+01,2.354361000000000104e+01,2.093677000000000277e+01,1.944565000000000055e+01,1.862640000000000029e+01,1.820009999999999906e+01,2.397275000000000134e+01,2.101871000000000222e+01,1.957336000000000098e+01,1.874863999999999820e+01,1.831447999999999965e+01,-3.548153999999999978e-04
2.361372000000000071e+01,2.329031000000000162e+01,2.159553999999999974e+01,2.056387999999999749e+01,1.990321000000000140e+01,2.395489999999999853e+01,2.231532999999999944e+01,2.043566000000000216e+01,1.932261000000000095e+01,1.885327000000000197e+01,2.633150999999999797e+01,2.284976999999999947e+01,2.066051000000000215e+01,1.950815000000000055e+01,1.912622999999999962e+01,5.417539000000001215e-01
1.811518999999999835e+01,1.647973999999999961e+01,1.587485000000000035e+01,1.566503999999999941e+01,1.556664999999999921e+01,1.810924999999999940e+01,1.648350999999999900e+01,1.587969000000000008e+01,1.567672000000000132e+01,1.557776000000000138e+01,1.814891000000000076e+01,1.654212000000000060e+01,1.592562999999999818e+01,1.573052000000000028e+01,1.564577999999999847e+01,-3.435322000000000310e-05
2.511027999999999949e+01,2.399844999999999828e+01,2.181662000000000035e+01,2.078222999999999843e+01,2.019340000000000046e+01,2.577364999999999995e+01,2.312616000000000227e+01,2.101623000000000019e+01,1.992023000000000010e+01,1.953542999999999807e+01,2.041829999999999856e+01,2.410543999999999798e+01,2.108872999999999820e+01,1.991231000000000151e+01,2.026607999999999876e+01,5.542690000000000117e-01
1.927084999999999937e+01,1.902847999999999828e+01,1.881664999999999921e+01,1.888498999999999839e+01,1.885467000000000226e+01,1.925979999999999848e+01,1.903839999999999932e+01,1.881925999999999988e+01,1.888417999999999708e+01,1.884564999999999912e+01,1.928910000000000124e+01,1.908702999999999861e+01,1.885162000000000049e+01,1.892332000000000036e+01,1.896172999999999931e+01,9.919506999999999630e-01
2.395497999999999905e+01,2.210482000000000014e+01,2.033534999999999826e+01,1.981413999999999831e+01,1.916994000000000042e+01,2.351651000000000025e+01,2.061900999999999939e+01,1.879504999999999981e+01,1.819772000000000034e+01,1.776985000000000170e+01,2.480987000000000009e+01,2.074660000000000082e+01,1.898486000000000118e+01,1.847127000000000052e+01,1.816873000000000005e+01,3.610836000000000046e-01
2.256047000000000224e+01,2.086160999999999888e+01,1.991279000000000110e+01,1.956917999999999935e+01,1.919350000000000023e+01,1.921391000000000204e+01,1.771903000000000006e+01,1.689087999999999923e+01,1.649030000000000129e+01,1.628166000000000224e+01,1.868848999999999805e+01,1.777969999999999828e+01,1.697544999999999860e+01,1.660030000000000072e+01,1.636008999999999958e+01,1.597251000000000087e-01
